codigo_iso3,codigo_m49,pais,area_codigo,tipo_incidencia,indicador,detalle,estado
SXM,534,Sint Maarten (Dutch part),NAC,SIN_DATO,HUM_GINI,Entidad sin Gini 2015-2024 utilizable.,REVISAR
BES,535,"Bonaire, Sint Eustatius and Saba",NAC,SIN_DATO,HUM_IDH,Entidad sin IDH utilizable en la serie oficial PNUD (2023/2022).,REVISAR
BES,535,"Bonaire, Sint Eustatius and Saba",NAC,SIN_DATO,HUM_GINI,Entidad sin Gini 2015-2024 utilizable.,REVISAR
BES,535,"Bonaire, Sint Eustatius and Saba",NAC,SIN_DATO,HUM_EV,Entidad sin esperanza de vida 2023/2022.,REVISAR
NCL,540,New Caledonia,APC,SIN_DATO,HUM_IDH,Entidad sin IDH utilizable en la serie oficial PNUD (2023/2022).,REVISAR
NCL,540,New Caledonia,APC,SIN_DATO,HUM_GINI,Entidad sin Gini 2015-2024 utilizable.,REVISAR
NZL,554,New Zealand,APC,SIN_DATO,HUM_GINI,Entidad sin Gini 2015-2024 utilizable.,REVISAR
NIC,558,Nicaragua,NAC,SIN_DATO,HUM_GINI,Entidad sin Gini 2015-2024 utilizable.,REVISAR
NIU,570,Niue,APC,SIN_DATO,HUM_IDH,Entidad sin IDH utilizable en la serie oficial PNUD (2023/2022).,REVISAR
NIU,570,Niue,APC,SIN_DATO,HUM_GINI,Entidad sin Gini 2015-2024 utilizable.,REVISAR
NIU,570,Niue,APC,SIN_DATO,HUM_EV,Entidad sin esperanza de vida 2023/2022.,REVISAR
NFK,574,Norfolk Island,APC,SIN_DATO,HUM_IDH,Entidad sin IDH utilizable en la serie oficial PNUD (2023/2022).,REVISAR
NFK,574,Norfolk Island,APC,SIN_DATO,HUM_GINI,Entidad sin Gini 2015-2024 utilizable.,REVISAR
NFK,574,Norfolk Island,APC,SIN_DATO,HUM_EV,Entidad sin esperanza de vida 2023/2022.,REVISAR
MNP,580,Northern Mariana Islands,APC,SIN_DATO,HUM_IDH,Entidad sin IDH utilizable en la serie oficial PNUD (2023/2022).,REVISAR
MNP,580,Northern Mariana Islands,APC,SIN_DATO,HUM_GINI,Entidad sin Gini 2015-2024 utilizable.,REVISAR
FSM,583,"Micronesia, Federated States of",APC,SIN_DATO,HUM_GINI,Entidad sin Gini 2015-2024 utilizable.,REVISAR
PLW,585,Palau,APC,SIN_DATO,HUM_GINI,Entidad sin Gini 2015-2024 utilizable.,REVISAR
PNG,598,Papua New Guinea,APC,SIN_DATO,HUM_GINI,Entidad sin Gini 2015-2024 utilizable.,REVISAR
PCN,612,Pitcairn,APC,SIN_DATO,HUM_IDH,Entidad sin IDH utilizable en la serie oficial PNUD (2023/2022).,REVISAR
PCN,612,Pitcairn,APC,SIN_DATO,HUM_GINI,Entidad sin Gini 2015-2024 utilizable.,REVISAR
PCN,612,Pitcairn,APC,SIN_DATO,HUM_EV,Entidad sin esperanza de vida 2023/2022.,REVISAR
TLS,626,Timor Oriental,APC,SIN_DATO,HUM_GINI,Entidad sin Gini 2015-2024 utilizable.,REVISAR
PRI,630,Puerto Rico,NAC,SIN_DATO,HUM_IDH,Entidad sin IDH utilizable en la serie oficial PNUD (2023/2022).,REVISAR
PRI,630,Puerto Rico,NAC,SIN_DATO,HUM_GINI,Entidad sin Gini 2015-2024 utilizable.,REVISAR
QAT,634,Qatar,MDE,GINI_ANTIGUO,HUM_GINI,Dato Gini 2017 (ventana 2015-2018).,REVISAR
REU,638,Réunion,AFR,SIN_DATO,HUM_IDH,Entidad sin IDH utilizable en la serie oficial PNUD (2023/2022).,REVISAR
REU,638,Réunion,AFR,SIN_DATO,HUM_GINI,Entidad sin Gini 2015-2024 utilizable.,REVISAR
REU,638,Réunion,AFR,SIN_DATO,HUM_EV,Entidad sin esperanza de vida 2023/2022.,REVISAR
BLM,652,Saint Barthélemy,NAC,SIN_DATO,HUM_IDH,Entidad sin IDH utilizable en la serie oficial PNUD (2023/2022).,REVISAR
BLM,652,Saint Barthélemy,NAC,SIN_DATO,HUM_GINI,Entidad sin Gini 2015-2024 utilizable.,REVISAR
BLM,652,Saint Barthélemy,NAC,SIN_DATO,HUM_EV,Entidad sin esperanza de vida 2023/2022.,REVISAR
SHN,654,"Saint Helena, Ascension and Tristan da Cunha",AFR,SIN_DATO,HUM_IDH,Entidad sin IDH utilizable en la serie oficial PNUD (2023/2022).,REVISAR
SHN,654,"Saint Helena, Ascension and Tristan da Cunha",AFR,SIN_DATO,HUM_GINI,Entidad sin Gini 2015-2024 utilizable.,REVISAR
SHN,654,"Saint Helena, Ascension and Tristan da Cunha",AFR,SIN_DATO,HUM_EV,Entidad sin esperanza de vida 2023/2022.,REVISAR
KNA,659,Saint Kitts and Nevis,NAC,SIN_DATO,HUM_GINI,Entidad sin Gini 2015-2024 utilizable.,REVISAR
AIA,660,Anguilla,NAC,SIN_DATO,HUM_IDH,Entidad sin IDH utilizable en la serie oficial PNUD (2023/2022).,REVISAR
AIA,660,Anguilla,NAC,SIN_DATO,HUM_GINI,Entidad sin Gini 2015-2024 utilizable.,REVISAR
AIA,660,Anguilla,NAC,SIN_DATO,HUM_EV,Entidad sin esperanza de vida 2023/2022.,REVISAR
LCA,662,Saint Lucia,NAC,GINI_ANTIGUO,HUM_GINI,Dato Gini 2015 (ventana 2015-2018).,REVISAR
MAF,663,Saint Martin (French part),NAC,SIN_DATO,HUM_IDH,Entidad sin IDH utilizable en la serie oficial PNUD (2023/2022).,REVISAR
MAF,663,Saint Martin (French part),NAC,SIN_DATO,HUM_GINI,Entidad sin Gini 2015-2024 utilizable.,REVISAR
SPM,666,Saint Pierre and Miquelon,NAC,SIN_DATO,HUM_IDH,Entidad sin IDH utilizable en la serie oficial PNUD (2023/2022).,REVISAR
SPM,666,Saint Pierre and Miquelon,NAC,SIN_DATO,HUM_GINI,Entidad sin Gini 2015-2024 utilizable.,REVISAR
SPM,666,Saint Pierre and Miquelon,NAC,SIN_DATO,HUM_EV,Entidad sin esperanza de vida 2023/2022.,REVISAR
VCT,670,Saint Vincent and the Grenadines,NAC,SIN_DATO,HUM_GINI,Entidad sin Gini 2015-2024 utilizable.,REVISAR
SMR,674,San Marino,EUR,SIN_DATO,HUM_GINI,Entidad sin Gini 2015-2024 utilizable.,REVISAR
STP,678,Sao Tome and Principe,AFR,GINI_ANTIGUO,HUM_GINI,Dato Gini 2017 (ventana 2015-2018).,REVISAR
SAU,682,Saudi Arabia,MDE,SIN_DATO,HUM_GINI,Entidad sin Gini 2015-2024 utilizable.,REVISAR
SYC,690,Seychelles,AFR,GINI_ANTIGUO,HUM_GINI,Dato Gini 2018 (ventana 2015-2018).,REVISAR
SLE,694,Sierra Leone,AFR,GINI_ANTIGUO,HUM_GINI,Dato Gini 2018 (ventana 2015-2018).,REVISAR
SGP,702,Singapore,APC,SIN_DATO,HUM_GINI,Entidad sin Gini 2015-2024 utilizable.,REVISAR
SOM,706,Somalia,AFR,SIN_DATO,HUM_GINI,Entidad sin Gini 2015-2024 utilizable.,REVISAR
SSD,728,South Sudan,AFR,GINI_ANTIGUO,HUM_GINI,Dato Gini 2016 (ventana 2015-2018).,REVISAR
SDN,729,Sudan,AFR,SIN_DATO,HUM_GINI,Entidad sin Gini 2015-2024 utilizable.,REVISAR
ESH,732,Western Sahara,AFR,SIN_DATO,HUM_IDH,Entidad sin IDH utilizable en la serie oficial PNUD (2023/2022).,REVISAR
ESH,732,Western Sahara,AFR,SIN_DATO,HUM_GINI,Entidad sin Gini 2015-2024 utilizable.,REVISAR
ESH,732,Western Sahara,AFR,SIN_DATO,HUM_EV,Entidad sin esperanza de vida 2023/2022.,REVISAR
SJM,744,Svalbard and Jan Mayen,EUR,SIN_DATO,HUM_IDH,Entidad sin IDH utilizable en la serie oficial PNUD (2023/2022).,REVISAR
SJM,744,Svalbard and Jan Mayen,EUR,SIN_DATO,HUM_GINI,Entidad sin Gini 2015-2024 utilizable.,REVISAR
SJM,744,Svalbard and Jan Mayen,EUR,SIN_DATO,HUM_EV,Entidad sin esperanza de vida 2023/2022.,REVISAR
SWZ,748,Esuatini,AFR,GINI_ANTIGUO,HUM_GINI,Dato Gini 2016 (ventana 2015-2018).,REVISAR
TKL,772,Tokelau,APC,SIN_DATO,HUM_IDH,Entidad sin IDH utilizable en la serie oficial PNUD (2023/2022).,REVISAR
TKL,772,Tokelau,APC,SIN_DATO,HUM_GINI,Entidad sin Gini 2015-2024 utilizable.,REVISAR
TKL,772,Tokelau,APC,SIN_DATO,HUM_EV,Entidad sin esperanza de vida 2023/2022.,REVISAR
TTO,780,Trinidad and Tobago,NAC,SIN_DATO,HUM_GINI,Entidad sin Gini 2015-2024 utilizable.,REVISAR
ARE,784,United Arab Emirates,MDE,GINI_ANTIGUO,HUM_GINI,Dato Gini 2018 (ventana 2015-2018).,REVISAR
TKM,795,Turkmenistan,RUE,SIN_DATO,HUM_GINI,Entidad sin Gini 2015-2024 utilizable.,REVISAR
TCA,796,Turks and Caicos Islands,NAC,SIN_DATO,HUM_IDH,Entidad sin IDH utilizable en la serie oficial PNUD (2023/2022).,REVISAR
TCA,796,Turks and Caicos Islands,NAC,SIN_DATO,HUM_GINI,Entidad sin Gini 2015-2024 utilizable.,REVISAR
TUV,798,Tuvalu,APC,SIN_DATO,HUM_GINI,Entidad sin Gini 2015-2024 utilizable.,REVISAR
GGY,831,Guernsey,EUR,SIN_DATO,HUM_IDH,Entidad sin IDH utilizable en la serie oficial PNUD (2023/2022).,REVISAR
GGY,831,Guernsey,EUR,SIN_DATO,HUM_GINI,Entidad sin Gini 2015-2024 utilizable.,REVISAR
GGY,831,Guernsey,EUR,SIN_DATO,HUM_EV,Entidad sin esperanza de vida 2023/2022.,REVISAR
JEY,832,Jersey,EUR,SIN_DATO,HUM_IDH,Entidad sin IDH utilizable en la serie oficial PNUD (2023/2022).,REVISAR
JEY,832,Jersey,EUR,SIN_DATO,HUM_GINI,Entidad sin Gini 2015-2024 utilizable.,REVISAR
JEY,832,Jersey,EUR,SIN_DATO,HUM_EV,Entidad sin esperanza de vida 2023/2022.,REVISAR
IMN,833,Isle of Man,EUR,SIN_DATO,HUM_IDH,Entidad sin IDH utilizable en la serie oficial PNUD (2023/2022).,REVISAR
IMN,833,Isle of Man,EUR,SIN_DATO,HUM_GINI,Entidad sin Gini 2015-2024 utilizable.,REVISAR
TZA,834,Tanzania,AFR,GINI_ANTIGUO,HUM_GINI,Dato Gini 2018 (ventana 2015-2018).,REVISAR
VIR,850,"Virgin Islands, U.S.",NAC,SIN_DATO,HUM_IDH,Entidad sin IDH utilizable en la serie oficial PNUD (2023/2022).,REVISAR
VIR,850,"Virgin Islands, U.S.",NAC,SIN_DATO,HUM_GINI,Entidad sin Gini 2015-2024 utilizable.,REVISAR
VEN,862,Venezuela,SAM,SIN_DATO,HUM_GINI,Entidad sin Gini 2015-2024 utilizable.,REVISAR
