codigo_iso3,codigo_m49,nombre_es,area_codigo,area_nombre,tipo_entidad,incluir_calculos,superficie_km2,anio_superficie,poblacion_2025,poblacion_2050,edad_mediana_2025,fuente_superficie,fuente_poblacion,estado_revision,observaciones_datos
CAN,124,Canada,NAC,Norteamérica y Caribe,PAIS_SOBERANO,SI,8788700.0,2023.0,40126728.0,45621880.0,,"FAOSTAT 2025, processed by Our World in Data","UN WPP 2024, processed by Our World in Data",OK,
CPV,132,Cabo Verde,AFR,África,PAIS_SOBERANO,SI,4030.0,2023.0,527333.0,566142.0,,"FAOSTAT 2025, processed by Our World in Data","UN WPP 2024, processed by Our World in Data",OK,
CYM,136,Cayman Islands,NAC,Norteamérica y Caribe,PAIS_SOBERANO,SI,240.0,2023.0,75861.0,103970.0,,"FAOSTAT 2025, processed by Our World in Data","UN WPP 2024, processed by Our World in Data",OK,
CAF,140,Central African Republic,AFR,África,PAIS_SOBERANO,SI,622980.0,2023.0,5513286.0,10616753.0,,"FAOSTAT 2025, processed by Our World in Data","UN WPP 2024, processed by Our World in Data",OK,
LKA,144,Sri Lanka,SAI,Subcontinente indio,PAIS_SOBERANO,SI,61860.0,2023.0,23229474.0,24813694.0,,"FAOSTAT 2025, processed by Our World in Data","UN WPP 2024, processed by Our World in Data",OK,
TCD,148,Chad,AFR,África,PAIS_SOBERANO,SI,1259200.0,2023.0,21003701.0,38857686.0,,"FAOSTAT 2025, processed by Our World in Data","UN WPP 2024, processed by Our World in Data",OK,
CHL,152,Chile,SAM,Sudamérica,PAIS_SOBERANO,SI,742831.7,2023.0,19859919.0,20320305.0,,"FAOSTAT 2025, processed by Our World in Data","UN WPP 2024, processed by Our World in Data",OK,
CHN,156,China,CHN,China,PAIS_SOBERANO,SI,9388210.0,2023.0,1416096093.0,1260289089.0,,"FAOSTAT 2025, processed by Our World in Data","UN WPP 2024, processed by Our World in Data",OK,
TWN,158,"Taiwan, Province of China",APC,Asia-Pacífico,ENTIDAD_ESTADISTICA,SEGUN_FUENTE,35410.0,2023.0,23112797.0,19434600.0,,"FAOSTAT 2025, processed by Our World in Data","UN WPP 2024, processed by Our World in Data",OK,
CXR,162,Christmas Island,APC,Asia-Pacífico,TERRITORIO_DEPENDIENTE,SEGUN_FUENTE,,,,,,"FAOSTAT 2025, processed by Our World in Data","UN WPP 2024, processed by Our World in Data",REVISAR,
CCK,166,Cocos (Keeling) Islands,APC,Asia-Pacífico,TERRITORIO_DEPENDIENTE,SEGUN_FUENTE,,,,,,"FAOSTAT 2025, processed by Our World in Data","UN WPP 2024, processed by Our World in Data",REVISAR,
COL,170,Colombia,SAM,Sudamérica,PAIS_SOBERANO,SI,1109500.0,2023.0,53425629.0,59385352.0,,"FAOSTAT 2025, processed by Our World in Data","UN WPP 2024, processed by Our World in Data",OK,
COM,174,Comoros,AFR,África,PAIS_SOBERANO,SI,1861.0,2023.0,882851.0,1307561.0,,"FAOSTAT 2025, processed by Our World in Data","UN WPP 2024, processed by Our World in Data",OK,
MYT,175,Mayotte,AFR,África,TERRITORIO_DEPENDIENTE,SEGUN_FUENTE,366.26,2023.0,337019.0,645436.0,,"FAOSTAT 2025, processed by Our World in Data","UN WPP 2024, processed by Our World in Data",OK,
COG,178,Congo,AFR,África,PAIS_SOBERANO,SI,341500.0,2023.0,6484437.0,11006470.0,,"FAOSTAT 2025, processed by Our World in Data","UN WPP 2024, processed by Our World in Data",OK,
COD,180,"Congo, The Democratic Republic of the",AFR,África,PAIS_SOBERANO,SI,2267050.0,2023.0,112832475.0,218246071.0,,"FAOSTAT 2025, processed by Our World in Data","UN WPP 2024, processed by Our World in Data",OK,
COK,184,Cook Islands,APC,Asia-Pacífico,TERRITORIO_DEPENDIENTE,SEGUN_FUENTE,240.0,2023.0,13280.0,9359.0,,"FAOSTAT 2025, processed by Our World in Data","UN WPP 2024, processed by Our World in Data",OK,
CRI,188,Costa Rica,NAC,Norteamérica y Caribe,PAIS_SOBERANO,SI,51060.0,2023.0,5152949.0,5354149.0,,"FAOSTAT 2025, processed by Our World in Data","UN WPP 2024, processed by Our World in Data",OK,
HRV,191,Croatia,EUR,Europa,PAIS_SOBERANO,SI,55960.0,2023.0,3848164.0,3234155.0,,"FAOSTAT 2025, processed by Our World in Data","UN WPP 2024, processed by Our World in Data",OK,
CUB,192,Cuba,NAC,Norteamérica y Caribe,PAIS_SOBERANO,SI,103800.0,2023.0,10937203.0,9381995.0,,"FAOSTAT 2025, processed by Our World in Data","UN WPP 2024, processed by Our World in Data",OK,
CYP,196,Cyprus,EUR,Europa,PAIS_SOBERANO,SI,9240.0,2023.0,1370754.0,1508484.0,,"FAOSTAT 2025, processed by Our World in Data","UN WPP 2024, processed by Our World in Data",OK,
CZE,203,Chequia,EUR,Europa,PAIS_SOBERANO,SI,77167.31,2023.0,10609241.0,9825542.0,,"FAOSTAT 2025, processed by Our World in Data","UN WPP 2024, processed by Our World in Data",OK,
BEN,204,Benin,AFR,África,PAIS_SOBERANO,SI,112760.0,2023.0,14814460.0,24433814.0,,"FAOSTAT 2025, processed by Our World in Data","UN WPP 2024, processed by Our World in Data",OK,
DNK,208,Denmark,EUR,Europa,PAIS_SOBERANO,SI,40000.0,2023.0,6002515.0,6124830.0,,"FAOSTAT 2025, processed by Our World in Data","UN WPP 2024, processed by Our World in Data",OK,
DMA,212,Dominica,NAC,Norteamérica y Caribe,PAIS_SOBERANO,SI,750.0,2023.0,65892.0,63212.0,,"FAOSTAT 2025, processed by Our World in Data","UN WPP 2024, processed by Our World in Data",OK,
DOM,214,Dominican Republic,NAC,Norteamérica y Caribe,PAIS_SOBERANO,SI,48198.02,2023.0,11520483.0,12996292.0,,"FAOSTAT 2025, processed by Our World in Data","UN WPP 2024, processed by Our World in Data",OK,
ECU,218,Ecuador,SAM,Sudamérica,PAIS_SOBERANO,SI,248360.0,2023.0,18289898.0,21337230.0,,"FAOSTAT 2025, processed by Our World in Data","UN WPP 2024, processed by Our World in Data",OK,
SLV,222,El Salvador,NAC,Norteamérica y Caribe,PAIS_SOBERANO,SI,20720.0,2023.0,6365506.0,6663348.0,,"FAOSTAT 2025, processed by Our World in Data","UN WPP 2024, processed by Our World in Data",OK,
GNQ,226,Equatorial Guinea,AFR,África,PAIS_SOBERANO,SI,28050.0,2023.0,1938436.0,3143731.0,,"FAOSTAT 2025, processed by Our World in Data","UN WPP 2024, processed by Our World in Data",OK,
ETH,231,Ethiopia,AFR,África,PAIS_SOBERANO,SI,1128498.8,2023.0,135472048.0,225021870.0,,"FAOSTAT 2025, processed by Our World in Data","UN WPP 2024, processed by Our World in Data",OK,
ERI,232,Eritrea,AFR,África,PAIS_SOBERANO,SI,121178.2,2023.0,3607003.0,5696064.0,,"FAOSTAT 2025, processed by Our World in Data","UN WPP 2024, processed by Our World in Data",OK,
EST,233,Estonia,EUR,Europa,PAIS_SOBERANO,SI,42730.0,2023.0,1344236.0,1174264.0,,"FAOSTAT 2025, processed by Our World in Data","UN WPP 2024, processed by Our World in Data",OK,
FRO,234,Faroe Islands,EUR,Europa,TERRITORIO_DEPENDIENTE,SEGUN_FUENTE,1370.0,2023.0,56023.0,63060.0,,"FAOSTAT 2025, processed by Our World in Data","UN WPP 2024, processed by Our World in Data",OK,
FLK,238,Falkland Islands (Malvinas),SAM,Sudamérica,TERRITORIO_DEPENDIENTE,SEGUN_FUENTE,12170.0,2023.0,3493.0,3198.0,,"FAOSTAT 2025, processed by Our World in Data","UN WPP 2024, processed by Our World in Data",OK,
FJI,242,Fiji,APC,Asia-Pacífico,PAIS_SOBERANO,SI,18270.0,2023.0,933159.0,1000265.0,,"FAOSTAT 2025, processed by Our World in Data","UN WPP 2024, processed by Our World in Data",OK,
FIN,246,Finland,EUR,Europa,PAIS_SOBERANO,SI,303960.0,2023.0,5623328.0,5351645.0,,"FAOSTAT 2025, processed by Our World in Data","UN WPP 2024, processed by Our World in Data",OK,
ALA,248,Åland Islands,EUR,Europa,TERRITORIO_DEPENDIENTE,SEGUN_FUENTE,,,,,,"FAOSTAT 2025, processed by Our World in Data","UN WPP 2024, processed by Our World in Data",REVISAR,
FRA,250,France,EUR,Europa,PAIS_SOBERANO,SI,538950.0,2023.0,66650804.0,68219681.0,,"FAOSTAT 2025, processed by Our World in Data","UN WPP 2024, processed by Our World in Data",OK,
GUF,254,French Guiana,SAM,Sudamérica,TERRITORIO_DEPENDIENTE,SEGUN_FUENTE,82810.0,2023.0,313665.0,471927.0,,"FAOSTAT 2025, processed by Our World in Data","UN WPP 2024, processed by Our World in Data",OK,
PYF,258,French Polynesia,APC,Asia-Pacífico,TERRITORIO_DEPENDIENTE,SEGUN_FUENTE,3471.0,2023.0,282468.0,284761.0,,"FAOSTAT 2025, processed by Our World in Data","UN WPP 2024, processed by Our World in Data",OK,
DJI,262,Djibouti,AFR,África,PAIS_SOBERANO,SI,23180.0,2023.0,1184082.0,1530546.0,,"FAOSTAT 2025, processed by Our World in Data","UN WPP 2024, processed by Our World in Data",OK,
GAB,266,Gabon,AFR,África,PAIS_SOBERANO,SI,257670.0,2023.0,2593131.0,4084539.0,,"FAOSTAT 2025, processed by Our World in Data","UN WPP 2024, processed by Our World in Data",OK,
GEO,268,Georgia,RUE,Rusia y Eurasia postsoviética,PAIS_SOBERANO,SI,69490.0,2023.0,3806669.0,3664012.0,,"FAOSTAT 2025, processed by Our World in Data","UN WPP 2024, processed by Our World in Data",OK,
GMB,270,Gambia,AFR,África,PAIS_SOBERANO,SI,10120.0,2023.0,2822094.0,4301899.0,,"FAOSTAT 2025, processed by Our World in Data","UN WPP 2024, processed by Our World in Data",OK,
