codigo_iso3,codigo_m49,pais,area_codigo,idh,anio_idh,gini,anio_gini,esperanza_vida,anio_esperanza_vida,fuente_idh,fuente_gini,fuente_esperanza_vida,estado_revision,observaciones
GRL,304,Greenland,NAC,,,,,70.9724390243902,2023.0,PNUD — Human Development Report 2025,Banco Mundial - Poverty and Inequality Platform,Banco Mundial - World Development Indicators,REVISAR,Entidad SEGUN_FUENTE; sin imputacion si la fuente no publica valor separado. Sin IDH 2023 publicado en PNUD HDR 2025 para esta entidad. Sin Gini 2015-2024 usable en WDI/PIP.
GRD,308,Grenada,NAC,0.791,2023.0,43.8,2018.0,75.205,2023.0,PNUD — Human Development Report 2025,Banco Mundial - Poverty and Inequality Platform,Banco Mundial - World Development Indicators,OK,Gini seleccionado en 2015-2018 (antiguo).
GLP,312,Guadeloupe,NAC,,,,,,,PNUD — Human Development Report 2025,Banco Mundial - Poverty and Inequality Platform,Banco Mundial - World Development Indicators,REVISAR,Entidad SEGUN_FUENTE; sin imputacion si la fuente no publica valor separado. Sin IDH 2023 publicado en PNUD HDR 2025 para esta entidad. Sin Gini 2015-2024 usable en WDI/PIP. Sin esperanza de vida 2023/2022 usable en WDI.
GUM,316,Guam,APC,,,,,77.209,2023.0,PNUD — Human Development Report 2025,Banco Mundial - Poverty and Inequality Platform,Banco Mundial - World Development Indicators,REVISAR,Entidad SEGUN_FUENTE; sin imputacion si la fuente no publica valor separado. Sin IDH 2023 publicado en PNUD HDR 2025 para esta entidad. Sin Gini 2015-2024 usable en WDI/PIP.
GTM,320,Guatemala,NAC,0.662,2023.0,45.2,2023.0,72.602,2023.0,PNUD — Human Development Report 2025,Banco Mundial - Poverty and Inequality Platform,Banco Mundial - World Development Indicators,OK,
GIN,324,Guinea,AFR,0.5,2023.0,29.6,2018.0,60.74,2023.0,PNUD — Human Development Report 2025,Banco Mundial - Poverty and Inequality Platform,Banco Mundial - World Development Indicators,OK,Gini seleccionado en 2015-2018 (antiguo).
GUY,328,Guyana,SAM,0.776,2023.0,,,70.18,2023.0,PNUD — Human Development Report 2025,Banco Mundial - Poverty and Inequality Platform,Banco Mundial - World Development Indicators,REVISAR,Sin Gini 2015-2024 usable en WDI/PIP.
HTI,332,Haiti,NAC,0.554,2023.0,,,64.936,2023.0,PNUD — Human Development Report 2025,Banco Mundial - Poverty and Inequality Platform,Banco Mundial - World Development Indicators,REVISAR,Sin Gini 2015-2024 usable en WDI/PIP.
VAT,336,Holy See (Vatican City State),EUR,,,,,,,PNUD — Human Development Report 2025,Banco Mundial - Poverty and Inequality Platform,Banco Mundial - World Development Indicators,REVISAR,Sin IDH 2023 publicado en PNUD HDR 2025 para esta entidad. Sin Gini 2015-2024 usable en WDI/PIP. Sin esperanza de vida 2023/2022 usable en WDI.
HND,340,Honduras,NAC,0.645,2023.0,45.7,2024.0,72.884,2023.0,PNUD — Human Development Report 2025,Banco Mundial - Poverty and Inequality Platform,Banco Mundial - World Development Indicators,OK,
HKG,344,Hong Kong,CHN,0.955,2023.0,,,85.2473170731707,2023.0,PNUD — Human Development Report 2025,Banco Mundial - Poverty and Inequality Platform,Banco Mundial - World Development Indicators,REVISAR,Entidad SEGUN_FUENTE; sin imputacion si la fuente no publica valor separado. Sin Gini 2015-2024 usable en WDI/PIP. HKG tratado separado de CHN.
HUN,348,Hungary,EUR,0.87,2023.0,30.6,2017.0,76.5707317073171,2023.0,PNUD — Human Development Report 2025,Banco Mundial - Poverty and Inequality Platform,Banco Mundial - World Development Indicators,OK,Gini seleccionado en 2015-2018 (antiguo).
ISL,352,Iceland,EUR,0.972,2023.0,26.8,2019.0,82.4560975609756,2023.0,PNUD — Human Development Report 2025,Banco Mundial - Poverty and Inequality Platform,Banco Mundial - World Development Indicators,OK,
IND,356,India,SAI,0.685,2023.0,25.5,2022.0,72.003,2023.0,PNUD — Human Development Report 2025,Banco Mundial - Poverty and Inequality Platform,Banco Mundial - World Development Indicators,OK,
