codigo_iso3,codigo_m49,pais,area_codigo,anio,tec_net_pct,poblacion_2025,usuarios_estimados_2025,fuente_codigo,fuente,estado_revision,observaciones
CMR,120,Cameroon,AFR,2024.0,46.25880051,29879341.0,13821824.746892639,ITU_WB_NET,"UIT, World Telecommunication/ICT Indicators Database, distribuido por Banco Mundial",OK,Ultimo dato oficial disponible; se conserva el ano real.
CAN,124,Canada,NAC,2024.0,94.353302,40126728.0,37860892.85255856,ITU_WB_NET,"UIT, World Telecommunication/ICT Indicators Database, distribuido por Banco Mundial",OK,Ultimo dato oficial disponible; se conserva el ano real.
CPV,132,Cabo Verde,AFR,2024.0,74.73519897,527333.0,394103.3667844701,ITU_WB_NET,"UIT, World Telecommunication/ICT Indicators Database, distribuido por Banco Mundial",OK,Ultimo dato oficial disponible; se conserva el ano real.
CYM,136,Cayman Islands,NAC,2017.0,81.0676932508161,75861.0,61498.762777001604,ITU_WB_NET,"UIT, World Telecommunication/ICT Indicators Database, distribuido por Banco Mundial",OK,Ultimo dato oficial disponible; se conserva el ano real.
CAF,140,Central African Republic,AFR,2024.0,13.78250027,5513286.0,759868.6578358721,ITU_WB_NET,"UIT, World Telecommunication/ICT Indicators Database, distribuido por Banco Mundial",OK,Ultimo dato oficial disponible; se conserva el ano real.
LKA,144,Sri Lanka,SAI,2024.0,54.59,23229474.0,12680969.856600001,ITU_WB_NET,"UIT, World Telecommunication/ICT Indicators Database, distribuido por Banco Mundial",OK,Ultimo dato oficial disponible; se conserva el ano real.
TCD,148,Chad,AFR,2024.0,12.62689972,21003701.0,2652116.2627586373,ITU_WB_NET,"UIT, World Telecommunication/ICT Indicators Database, distribuido por Banco Mundial",OK,Ultimo dato oficial disponible; se conserva el ano real.
CHL,152,Chile,SAM,2024.0,95.590243,19859919.0,18984144.83170317,ITU_WB_NET,"UIT, World Telecommunication/ICT Indicators Database, distribuido por Banco Mundial",OK,Ultimo dato oficial disponible; se conserva el ano real.
CHN,156,China,CHN,2025.0,91.6,1416096093.0,1297144021.188,ITU_WB_NET,"UIT, World Telecommunication/ICT Indicators Database, distribuido por Banco Mundial",OK,Ultimo dato oficial disponible; se conserva el ano real.
TWN,158,"Taiwan, Province of China",APC,2024.0,96.7,23112797.0,22350074.699,ITU_DATAHUB,"UIT DataHub, Individuals using the Internet",OK,Ultimo dato oficial disponible; se conserva el ano real. Entidad SEGUN_FUENTE; tratamiento territorial conservado.
CXR,162,Christmas Island,APC,,,,,,,AUSENTE_DOCUMENTADO,Sin dato UIT/Banco Mundial; no imputar ni convertir en cero. Entidad SEGUN_FUENTE; tratamiento territorial conservado.
CCK,166,Cocos (Keeling) Islands,APC,,,,,,,AUSENTE_DOCUMENTADO,Sin dato UIT/Banco Mundial; no imputar ni convertir en cero. Entidad SEGUN_FUENTE; tratamiento territorial conservado.
COL,170,Colombia,SAM,2024.0,79.34543299,53425629.0,42390796.65768101,ITU_WB_NET,"UIT, World Telecommunication/ICT Indicators Database, distribuido por Banco Mundial",OK,Ultimo dato oficial disponible; se conserva el ano real.
COM,174,Comoros,AFR,2024.0,32.51750183,882851.0,287081.0900811733,ITU_WB_NET,"UIT, World Telecommunication/ICT Indicators Database, distribuido por Banco Mundial",OK,Ultimo dato oficial disponible; se conserva el ano real.
MYT,175,Mayotte,AFR,,,337019.0,,,,AUSENTE_DOCUMENTADO,Sin dato UIT/Banco Mundial; no imputar ni convertir en cero. Entidad SEGUN_FUENTE; tratamiento territorial conservado.
COG,178,Congo,AFR,2024.0,47.25159836,6484437.0,3064000.1271472336,ITU_WB_NET,"UIT, World Telecommunication/ICT Indicators Database, distribuido por Banco Mundial",OK,Ultimo dato oficial disponible; se conserva el ano real.
COD,180,"Congo, The Democratic Republic of the",AFR,2024.0,19.67350006,112832475.0,22198097.036824483,ITU_WB_NET,"UIT, World Telecommunication/ICT Indicators Database, distribuido por Banco Mundial",OK,Ultimo dato oficial disponible; se conserva el ano real.
COK,184,Cook Islands,APC,,,13280.0,,,,AUSENTE_DOCUMENTADO,Sin dato UIT/Banco Mundial; no imputar ni convertir en cero. Entidad SEGUN_FUENTE; tratamiento territorial conservado.
CRI,188,Costa Rica,NAC,2024.0,87.17019653,5152949.0,4491835.77039067,ITU_WB_NET,"UIT, World Telecommunication/ICT Indicators Database, distribuido por Banco Mundial",OK,Ultimo dato oficial disponible; se conserva el ano real.
HRV,191,Croatia,EUR,2024.0,83.63240029,3848164.0,3218311.920295676,ITU_WB_NET,"UIT, World Telecommunication/ICT Indicators Database, distribuido por Banco Mundial",OK,Ultimo dato oficial disponible; se conserva el ano real.
CUB,192,Cuba,NAC,2024.0,70.47699738,10937203.0,7708212.271755282,ITU_WB_NET,"UIT, World Telecommunication/ICT Indicators Database, distribuido por Banco Mundial",OK,Ultimo dato oficial disponible; se conserva el ano real.
CYP,196,Cyprus,EUR,2024.0,89.60099246,1370754.0,1228209.1881851484,ITU_WB_NET,"UIT, World Telecommunication/ICT Indicators Database, distribuido por Banco Mundial",OK,Ultimo dato oficial disponible; se conserva el ano real.
CZE,203,Chequia,EUR,2024.0,87.68776014,10609241.0,9303005.800754536,ITU_WB_NET,"UIT, World Telecommunication/ICT Indicators Database, distribuido por Banco Mundial",OK,Ultimo dato oficial disponible; se conserva el ano real.
BEN,204,Benin,AFR,2024.0,33.98379898,14814460.0,5034516.306372508,ITU_WB_NET,"UIT, World Telecommunication/ICT Indicators Database, distribuido por Banco Mundial",OK,Ultimo dato oficial disponible; se conserva el ano real.
DNK,208,Denmark,EUR,2024.0,99.76915157,6002515.0,5988658.288361985,ITU_WB_NET,"UIT, World Telecommunication/ICT Indicators Database, distribuido por Banco Mundial",OK,Ultimo dato oficial disponible; se conserva el ano real.
DMA,212,Dominica,NAC,2024.0,82.04689789,65892.0,54062.34195767879,ITU_WB_NET,"UIT, World Telecommunication/ICT Indicators Database, distribuido por Banco Mundial",OK,Ultimo dato oficial disponible; se conserva el ano real.
DOM,214,Dominican Republic,NAC,2024.0,91.0022446,11520483.0,10483898.118761418,ITU_WB_NET,"UIT, World Telecommunication/ICT Indicators Database, distribuido por Banco Mundial",OK,Ultimo dato oficial disponible; se conserva el ano real.
ECU,218,Ecuador,SAM,2024.0,77.17273115,18289898.0,14114813.811149228,ITU_WB_NET,"UIT, World Telecommunication/ICT Indicators Database, distribuido por Banco Mundial",OK,Ultimo dato oficial disponible; se conserva el ano real.
SLV,222,El Salvador,NAC,2024.0,66.47769928,6365506.0,4231641.936330357,ITU_WB_NET,"UIT, World Telecommunication/ICT Indicators Database, distribuido por Banco Mundial",OK,Ultimo dato oficial disponible; se conserva el ano real.
GNQ,226,Equatorial Guinea,AFR,2024.0,63.29930115,1938436.0,1227016.441240014,ITU_WB_NET,"UIT, World Telecommunication/ICT Indicators Database, distribuido por Banco Mundial",OK,Ultimo dato oficial disponible; se conserva el ano real.
ETH,231,Ethiopia,AFR,2024.0,21.94129944,135472048.0,29724327.70918053,ITU_WB_NET,"UIT, World Telecommunication/ICT Indicators Database, distribuido por Banco Mundial",OK,Ultimo dato oficial disponible; se conserva el ano real.
ERI,232,Eritrea,AFR,2020.0,14.34939957,3607003.0,517583.2729718871,ITU_WB_NET,"UIT, World Telecommunication/ICT Indicators Database, distribuido por Banco Mundial",OK,Ultimo dato oficial disponible; se conserva el ano real.
EST,233,Estonia,EUR,2024.0,92.23796204,1344236.0,1239895.8914080143,ITU_WB_NET,"UIT, World Telecommunication/ICT Indicators Database, distribuido por Banco Mundial",OK,Ultimo dato oficial disponible; se conserva el ano real.
