codigo_iso3,codigo_m49,pais,area_codigo,pib_usd,anio_pib,fuente,indicador_fuente,estado_revision,observaciones
IRL,372,Ireland,EUR,609157459747.205,2024.0,Banco Mundial WDI,NY.GDP.MKTP.CD,OK,
ISR,376,Israel,MDE,542284494490.778,2024.0,Banco Mundial WDI,NY.GDP.MKTP.CD,OK,
ITA,380,Italy,EUR,2383435562458.12,2024.0,Banco Mundial WDI,NY.GDP.MKTP.CD,OK,
CIV,384,Côte d'Ivoire,AFR,87113179149.284,2024.0,Banco Mundial WDI,NY.GDP.MKTP.CD,OK,
JAM,388,Jamaica,NAC,22014429050.9995,2024.0,Banco Mundial WDI,NY.GDP.MKTP.CD,OK,
JPN,392,Japan,APC,4190008188358.57,2024.0,Banco Mundial WDI,NY.GDP.MKTP.CD,OK,
KAZ,398,Kazakhstan,RUE,291480274648.826,2024.0,Banco Mundial WDI,NY.GDP.MKTP.CD,OK,
JOR,400,Jordan,MDE,58618380563.3803,2024.0,Banco Mundial WDI,NY.GDP.MKTP.CD,OK,
KEN,404,Kenya,AFR,120397537849.826,2024.0,Banco Mundial WDI,NY.GDP.MKTP.CD,OK,
PRK,408,Corea del Norte,APC,,,Banco Mundial WDI,NY.GDP.MKTP.CD,REVISAR,Sin dato comparable 2024/2023 en WDI.
KOR,410,Corea del Sur,APC,1875388209406.8,2024.0,Banco Mundial WDI,NY.GDP.MKTP.CD,OK,
KWT,414,Kuwait,MDE,160903106639.233,2024.0,Banco Mundial WDI,NY.GDP.MKTP.CD,OK,
KGZ,417,Kyrgyzstan,RUE,18161630698.9052,2024.0,Banco Mundial WDI,NY.GDP.MKTP.CD,OK,
LAO,418,Lao People's Democratic Republic,APC,16502933121.3379,2024.0,Banco Mundial WDI,NY.GDP.MKTP.CD,OK,
LBN,422,Lebanon,MDE,25971643441.3408,2024.0,Banco Mundial WDI,NY.GDP.MKTP.CD,OK,
LSO,426,Lesotho,AFR,2391282547.80028,2024.0,Banco Mundial WDI,NY.GDP.MKTP.CD,OK,
LVA,428,Latvia,EUR,44001275012.6141,2024.0,Banco Mundial WDI,NY.GDP.MKTP.CD,OK,
LBR,430,Liberia,AFR,4779300900.0,2024.0,Banco Mundial WDI,NY.GDP.MKTP.CD,OK,
LBY,434,Libya,AFR,48487151215.345,2024.0,Banco Mundial WDI,NY.GDP.MKTP.CD,OK,
LIE,438,Liechtenstein,EUR,8905764270.4054,2024.0,Banco Mundial WDI,NY.GDP.MKTP.CD,OK,
LTU,440,Lithuania,EUR,85503938573.5664,2024.0,Banco Mundial WDI,NY.GDP.MKTP.CD,OK,
LUX,442,Luxembourg,EUR,93279851863.4062,2024.0,Banco Mundial WDI,NY.GDP.MKTP.CD,OK,
MAC,446,Macao,CHN,49467258923.3244,2024.0,Banco Mundial WDI,NY.GDP.MKTP.CD,OK,WDI reporta MAC separado de CHN.
MDG,450,Madagascar,AFR,17592832696.1336,2024.0,Banco Mundial WDI,NY.GDP.MKTP.CD,OK,
MWI,454,Malawi,AFR,11311971400.3864,2024.0,Banco Mundial WDI,NY.GDP.MKTP.CD,OK,
MYS,458,Malaysia,APC,422227005428.688,2024.0,Banco Mundial WDI,NY.GDP.MKTP.CD,OK,
MDV,462,Maldives,SAI,7061608267.25451,2024.0,Banco Mundial WDI,NY.GDP.MKTP.CD,OK,
MLI,466,Mali,AFR,26761281076.7658,2024.0,Banco Mundial WDI,NY.GDP.MKTP.CD,OK,
MLT,470,Malta,EUR,25042712191.3281,2024.0,Banco Mundial WDI,NY.GDP.MKTP.CD,OK,
MTQ,474,Martinique,NAC,,,Banco Mundial WDI,NY.GDP.MKTP.CD,REVISAR,Sin dato comparable 2024/2023 en WDI.
MRT,478,Mauritania,AFR,10879212033.4823,2024.0,Banco Mundial WDI,NY.GDP.MKTP.CD,OK,
MUS,480,Mauritius,AFR,14938055690.3609,2024.0,Banco Mundial WDI,NY.GDP.MKTP.CD,OK,
MEX,484,Mexico,NAC,1830489311088.89,2024.0,Banco Mundial WDI,NY.GDP.MKTP.CD,OK,
MCO,492,Monaco,EUR,11125788838.2812,2024.0,Banco Mundial WDI,NY.GDP.MKTP.CD,OK,
MNG,496,Mongolia,APC,23794540024.5132,2024.0,Banco Mundial WDI,NY.GDP.MKTP.CD,OK,
MDA,498,Moldavia,EUR,18206842140.7615,2024.0,Banco Mundial WDI,NY.GDP.MKTP.CD,OK,
MNE,499,Montenegro,EUR,8274290505.96367,2024.0,Banco Mundial WDI,NY.GDP.MKTP.CD,OK,
MSR,500,Montserrat,NAC,,,Banco Mundial WDI,NY.GDP.MKTP.CD,REVISAR,Sin dato comparable 2024/2023 en WDI.
MAR,504,Morocco,AFR,160610994054.734,2024.0,Banco Mundial WDI,NY.GDP.MKTP.CD,OK,
MOZ,508,Mozambique,AFR,22752244245.473,2024.0,Banco Mundial WDI,NY.GDP.MKTP.CD,OK,
OMN,512,Oman,MDE,107137198699.61,2024.0,Banco Mundial WDI,NY.GDP.MKTP.CD,OK,
NAM,516,Namibia,AFR,13641190683.4641,2024.0,Banco Mundial WDI,NY.GDP.MKTP.CD,OK,
NRU,520,Nauru,APC,167833414.846177,2024.0,Banco Mundial WDI,NY.GDP.MKTP.CD,OK,
NPL,524,Nepal,SAI,43298911699.9284,2024.0,Banco Mundial WDI,NY.GDP.MKTP.CD,OK,
NLD,528,Netherlands,EUR,1213936238063.28,2024.0,Banco Mundial WDI,NY.GDP.MKTP.CD,OK,
CUW,531,Curaçao,NAC,3561178212.2905,2024.0,Banco Mundial WDI,NY.GDP.MKTP.CD,OK,
ABW,533,Aruba,NAC,4167588070.29217,2024.0,Banco Mundial WDI,NY.GDP.MKTP.CD,OK,
SXM,534,Sint Maarten (Dutch part),NAC,1797836648.04469,2024.0,Banco Mundial WDI,NY.GDP.MKTP.CD,OK,
