codigo_indicador,codigo_pais,codigo_area,incluido,motivo
TERR_DENS,MMR,APC,SI,
TERR_DENS,KHM,APC,SI,
TERR_DENS,TWN,APC,SI,
TERR_DENS,CXR,APC,NO,Falta superficie terrestre 2023
TERR_DENS,CCK,APC,NO,Falta superficie terrestre 2023
TERR_DENS,COK,APC,SI,
TERR_DENS,FJI,APC,SI,
TERR_DENS,PYF,APC,SI,
TERR_DENS,KIR,APC,SI,
TERR_DENS,GUM,APC,SI,
TERR_DENS,IDN,APC,SI,
TERR_DENS,JPN,APC,SI,
TERR_DENS,PRK,APC,SI,
TERR_DENS,KOR,APC,SI,
TERR_DENS,LAO,APC,SI,
TERR_DENS,MYS,APC,SI,
TERR_DENS,MNG,APC,SI,
TERR_DENS,NRU,APC,SI,
TERR_DENS,NCL,APC,SI,
TERR_DENS,VUT,APC,SI,
TERR_DENS,NZL,APC,SI,
TERR_DENS,NIU,APC,SI,
TERR_DENS,NFK,APC,NO,Falta superficie terrestre 2023
TERR_DENS,MNP,APC,SI,
TERR_DENS,FSM,APC,SI,
TERR_DENS,MHL,APC,SI,
TERR_DENS,PLW,APC,SI,
TERR_DENS,PNG,APC,SI,
TERR_DENS,PHL,APC,SI,
TERR_DENS,PCN,APC,NO,Falta superficie terrestre 2023
TERR_DENS,TLS,APC,SI,
TERR_DENS,SGP,APC,SI,
TERR_DENS,VNM,APC,SI,
TERR_DENS,THA,APC,SI,
TERR_DENS,TKL,APC,SI,
TERR_DENS,TON,APC,SI,
TERR_DENS,TUV,APC,SI,
TERR_DENS,WLF,APC,SI,
TERR_DENS,WSM,APC,SI,
TERR_DENS,CHN,CHN,SI,
TERR_DENS,HKG,CHN,SI,
TERR_DENS,MAC,CHN,SI,
TERR_DENS,ALB,EUR,SI,
TERR_DENS,AND,EUR,SI,
TERR_DENS,AUT,EUR,SI,
TERR_DENS,BEL,EUR,SI,
TERR_DENS,BIH,EUR,SI,
TERR_DENS,BGR,EUR,SI,
TERR_DENS,HRV,EUR,SI,
TERR_DENS,CYP,EUR,SI,
TERR_DENS,CZE,EUR,SI,
TERR_DENS,DNK,EUR,SI,
TERR_DENS,EST,EUR,SI,
TERR_DENS,FRO,EUR,SI,
TERR_DENS,FIN,EUR,SI,
TERR_DENS,ALA,EUR,NO,Falta superficie terrestre 2023
TERR_DENS,FRA,EUR,SI,
TERR_DENS,DEU,EUR,SI,
TERR_DENS,GIB,EUR,SI,
TERR_DENS,GRC,EUR,SI,
TERR_DENS,VAT,EUR,SI,
TERR_DENS,HUN,EUR,SI,
TERR_DENS,ISL,EUR,SI,
TERR_DENS,IRL,EUR,SI,
TERR_DENS,ITA,EUR,SI,
TERR_DENS,LVA,EUR,SI,
TERR_DENS,LIE,EUR,SI,
TERR_DENS,LTU,EUR,SI,
TERR_DENS,LUX,EUR,SI,
TERR_DENS,MLT,EUR,SI,
TERR_DENS,MCO,EUR,SI,
TERR_DENS,MDA,EUR,SI,
TERR_DENS,MNE,EUR,SI,
TERR_DENS,NLD,EUR,SI,
TERR_DENS,NOR,EUR,SI,
TERR_DENS,POL,EUR,SI,
TERR_DENS,PRT,EUR,SI,
TERR_DENS,ROU,EUR,SI,
TERR_DENS,SMR,EUR,SI,
TERR_DENS,SRB,EUR,SI,
TERR_DENS,SVK,EUR,SI,
TERR_DENS,SVN,EUR,SI,
TERR_DENS,ESP,EUR,SI,
TERR_DENS,SJM,EUR,NO,Falta superficie terrestre 2023
TERR_DENS,SWE,EUR,SI,
TERR_DENS,CHE,EUR,SI,
TERR_DENS,UKR,EUR,SI,
TERR_DENS,MKD,EUR,SI,
TERR_DENS,GBR,EUR,SI,
TERR_DENS,GGY,EUR,NO,Falta superficie terrestre 2023
TERR_DENS,JEY,EUR,NO,Falta superficie terrestre 2023
TERR_DENS,IMN,EUR,SI,
TERR_DENS,XKX,EUR,NO,Falta superficie terrestre 2023
TERR_DENS,BHR,MDE,SI,
TERR_DENS,PSE,MDE,SI,
TERR_DENS,IRN,MDE,SI,
TERR_DENS,IRQ,MDE,SI,
TERR_DENS,ISR,MDE,SI,
TERR_DENS,JOR,MDE,SI,
TERR_DENS,KWT,MDE,SI,
TERR_DENS,LBN,MDE,SI,
TERR_DENS,OMN,MDE,SI,
TERR_DENS,QAT,MDE,SI,
TERR_DENS,SAU,MDE,SI,
TERR_DENS,SYR,MDE,SI,
TERR_DENS,ARE,MDE,SI,
TERR_DENS,TUR,MDE,SI,
TERR_DENS,YEM,MDE,SI,
TERR_DENS,ATG,NAC,SI,
TERR_DENS,BHS,NAC,SI,
TERR_DENS,BRB,NAC,SI,
TERR_DENS,BMU,NAC,SI,
TERR_DENS,BLZ,NAC,SI,
TERR_DENS,VGB,NAC,SI,
TERR_DENS,CAN,NAC,SI,
TERR_DENS,CYM,NAC,SI,
TERR_DENS,CRI,NAC,SI,
TERR_DENS,CUB,NAC,SI,
TERR_DENS,DMA,NAC,SI,
TERR_DENS,DOM,NAC,SI,
TERR_DENS,SLV,NAC,SI,
TERR_DENS,GRL,NAC,SI,
TERR_DENS,GRD,NAC,SI,
TERR_DENS,GLP,NAC,SI,
TERR_DENS,GTM,NAC,SI,
TERR_DENS,HTI,NAC,SI,
TERR_DENS,HND,NAC,SI,
TERR_DENS,JAM,NAC,SI,
TERR_DENS,MTQ,NAC,SI,
TERR_DENS,MEX,NAC,SI,
TERR_DENS,MSR,NAC,SI,
TERR_DENS,CUW,NAC,SI,
TERR_DENS,ABW,NAC,SI,
TERR_DENS,SXM,NAC,SI,
TERR_DENS,BES,NAC,SI,
TERR_DENS,NIC,NAC,SI,
TERR_DENS,PAN,NAC,SI,
TERR_DENS,PRI,NAC,SI,
TERR_DENS,BLM,NAC,SI,
TERR_DENS,KNA,NAC,SI,
TERR_DENS,AIA,NAC,SI,
TERR_DENS,LCA,NAC,SI,
TERR_DENS,MAF,NAC,SI,
TERR_DENS,SPM,NAC,SI,
TERR_DENS,VCT,NAC,SI,
TERR_DENS,TTO,NAC,SI,
TERR_DENS,TCA,NAC,SI,
TERR_DENS,USA,NAC,SI,
TERR_DENS,VIR,NAC,SI,
TERR_DENS,AZE,RUE,SI,
TERR_DENS,ARM,RUE,SI,
TERR_DENS,BLR,RUE,SI,
TERR_DENS,GEO,RUE,SI,
TERR_DENS,KAZ,RUE,SI,
TERR_DENS,KGZ,RUE,SI,
TERR_DENS,RUS,RUE,SI,
TERR_DENS,TJK,RUE,SI,
TERR_DENS,TKM,RUE,SI,
TERR_DENS,UZB,RUE,SI,
TERR_DENS,AFG,SAI,SI,
TERR_DENS,BGD,SAI,SI,
TERR_DENS,BTN,SAI,SI,
TERR_DENS,LKA,SAI,SI,
TERR_DENS,IND,SAI,SI,
TERR_DENS,MDV,SAI,SI,
TERR_DENS,NPL,SAI,SI,
TERR_DENS,PAK,SAI,SI,
TERR_DENS,ARG,SAM,SI,
TERR_DENS,BOL,SAM,SI,
TERR_DENS,BRA,SAM,SI,
TERR_DENS,CHL,SAM,SI,
TERR_DENS,COL,SAM,SI,
TERR_DENS,ECU,SAM,SI,
TERR_DENS,FLK,SAM,SI,
TERR_DENS,GUF,SAM,SI,
TERR_DENS,GUY,SAM,SI,
TERR_DENS,PRY,SAM,SI,
TERR_DENS,PER,SAM,SI,
TERR_DENS,SUR,SAM,SI,
TERR_DENS,URY,SAM,SI,
TERR_DENS,VEN,SAM,SI,
POB_URB,DZA,AFR,NO,No existe serie nacional de poblacion urbana incorporada
POB_URB,AGO,AFR,NO,No existe serie nacional de poblacion urbana incorporada
POB_URB,BWA,AFR,NO,No existe serie nacional de poblacion urbana incorporada
POB_URB,IOT,AFR,NO,No existe serie nacional de poblacion urbana incorporada
POB_URB,BDI,AFR,NO,No existe serie nacional de poblacion urbana incorporada
POB_URB,CMR,AFR,NO,No existe serie nacional de poblacion urbana incorporada
POB_URB,CPV,AFR,NO,No existe serie nacional de poblacion urbana incorporada
POB_URB,CAF,AFR,NO,No existe serie nacional de poblacion urbana incorporada
POB_URB,TCD,AFR,NO,No existe serie nacional de poblacion urbana incorporada
POB_URB,COM,AFR,NO,No existe serie nacional de poblacion urbana incorporada
POB_URB,MYT,AFR,NO,No existe serie nacional de poblacion urbana incorporada
POB_URB,COG,AFR,NO,No existe serie nacional de poblacion urbana incorporada
POB_URB,COD,AFR,NO,No existe serie nacional de poblacion urbana incorporada
POB_URB,BEN,AFR,NO,No existe serie nacional de poblacion urbana incorporada
POB_URB,GNQ,AFR,NO,No existe serie nacional de poblacion urbana incorporada
POB_URB,ETH,AFR,NO,No existe serie nacional de poblacion urbana incorporada
POB_URB,ERI,AFR,NO,No existe serie nacional de poblacion urbana incorporada
POB_URB,DJI,AFR,NO,No existe serie nacional de poblacion urbana incorporada
POB_URB,GAB,AFR,NO,No existe serie nacional de poblacion urbana incorporada
POB_URB,GMB,AFR,NO,No existe serie nacional de poblacion urbana incorporada
POB_URB,GHA,AFR,NO,No existe serie nacional de poblacion urbana incorporada
POB_URB,GIN,AFR,NO,No existe serie nacional de poblacion urbana incorporada
POB_URB,CIV,AFR,NO,No existe serie nacional de poblacion urbana incorporada
POB_URB,KEN,AFR,NO,No existe serie nacional de poblacion urbana incorporada
POB_URB,LSO,AFR,NO,No existe serie nacional de poblacion urbana incorporada
POB_URB,LBR,AFR,NO,No existe serie nacional de poblacion urbana incorporada
POB_URB,LBY,AFR,NO,No existe serie nacional de poblacion urbana incorporada
POB_URB,MDG,AFR,NO,No existe serie nacional de poblacion urbana incorporada
POB_URB,MWI,AFR,NO,No existe serie nacional de poblacion urbana incorporada
POB_URB,MLI,AFR,NO,No existe serie nacional de poblacion urbana incorporada
POB_URB,MRT,AFR,NO,No existe serie nacional de poblacion urbana incorporada
POB_URB,MUS,AFR,NO,No existe serie nacional de poblacion urbana incorporada
POB_URB,MAR,AFR,NO,No existe serie nacional de poblacion urbana incorporada
POB_URB,MOZ,AFR,NO,No existe serie nacional de poblacion urbana incorporada
POB_URB,NAM,AFR,NO,No existe serie nacional de poblacion urbana incorporada
POB_URB,NER,AFR,NO,No existe serie nacional de poblacion urbana incorporada
POB_URB,NGA,AFR,NO,No existe serie nacional de poblacion urbana incorporada
POB_URB,GNB,AFR,NO,No existe serie nacional de poblacion urbana incorporada
POB_URB,REU,AFR,NO,No existe serie nacional de poblacion urbana incorporada
POB_URB,RWA,AFR,NO,No existe serie nacional de poblacion urbana incorporada
POB_URB,SHN,AFR,NO,No existe serie nacional de poblacion urbana incorporada
POB_URB,STP,AFR,NO,No existe serie nacional de poblacion urbana incorporada
POB_URB,SEN,AFR,NO,No existe serie nacional de poblacion urbana incorporada
POB_URB,SYC,AFR,NO,No existe serie nacional de poblacion urbana incorporada
POB_URB,SLE,AFR,NO,No existe serie nacional de poblacion urbana incorporada
POB_URB,SOM,AFR,NO,No existe serie nacional de poblacion urbana incorporada
POB_URB,ZAF,AFR,NO,No existe serie nacional de poblacion urbana incorporada
POB_URB,ZWE,AFR,NO,No existe serie nacional de poblacion urbana incorporada
POB_URB,SSD,AFR,NO,No existe serie nacional de poblacion urbana incorporada
POB_URB,SDN,AFR,NO,No existe serie nacional de poblacion urbana incorporada
POB_URB,ESH,AFR,NO,No existe serie nacional de poblacion urbana incorporada
POB_URB,SWZ,AFR,NO,No existe serie nacional de poblacion urbana incorporada
POB_URB,TGO,AFR,NO,No existe serie nacional de poblacion urbana incorporada
POB_URB,TUN,AFR,NO,No existe serie nacional de poblacion urbana incorporada
POB_URB,UGA,AFR,NO,No existe serie nacional de poblacion urbana incorporada
POB_URB,EGY,AFR,NO,No existe serie nacional de poblacion urbana incorporada
