periodo,codigo_pais,codigo_indicador,valor,unidad,anio_referencia,codigo_fuente,observaciones
RG2025_V1,BOL,POB_URB,70.9151414045,%,2023,WB_WDI_SP.URB.TOTL.IN.ZS,Definicion urbana nacional armonizada por ONU/WDI.
RG2025_V1,BOL,POB_EDAD,24.664,anios,2023,OWID_MEDIAN_AGE,
RG2025_V1,BOL,HUM_EV,68.581,anios,2023,WB_WDI,
RG2025_V1,BOL,ECO_PC,4421.1650304106,USD_corrientes_por_hab,2024,WB_WDI_NY.GDP.MKTP.CD,PIB nominal WDI 2024 / poblacion 2024.
RG2025_V1,BOL,HUM_IDH,0.733,indice_0_1,2023,UNDP_HDR,
RG2025_V1,BIH,TERR_DENS,61.3300390625,hab/km2,2025,CALC_UNWPP_FAOSTAT_OWID,Poblacion 2025 / superficie terrestre 2023.
RG2025_V1,BIH,POB_URB,51.5657239834,%,2023,WB_WDI_SP.URB.TOTL.IN.ZS,Definicion urbana nacional armonizada por ONU/WDI.
RG2025_V1,BIH,POB_EDAD,44.915,anios,2023,OWID_MEDIAN_AGE,
RG2025_V1,BIH,HUM_EV,77.85,anios,2023,WB_WDI,
RG2025_V1,BIH,ECO_PC,9397.9005184945,USD_corrientes_por_hab,2024,WB_WDI_NY.GDP.MKTP.CD,PIB nominal WDI 2024 / poblacion 2024.
RG2025_V1,BIH,HUM_IDH,0.804,indice_0_1,2023,UNDP_HDR,
RG2025_V1,BWA,TERR_DENS,4.5208917827,hab/km2,2025,CALC_UNWPP_FAOSTAT_OWID,Poblacion 2025 / superficie terrestre 2023.
RG2025_V1,BWA,POB_URB,67.021265535,%,2023,WB_WDI_SP.URB.TOTL.IN.ZS,Definicion urbana nacional armonizada por ONU/WDI.
RG2025_V1,BWA,POB_EDAD,22.882,anios,2023,OWID_MEDIAN_AGE,
RG2025_V1,BWA,HUM_EV,69.163,anios,2023,WB_WDI,
RG2025_V1,BWA,ECO_PC,7649.7984318664,USD_corrientes_por_hab,2024,WB_WDI_NY.GDP.MKTP.CD,PIB nominal WDI 2024 / poblacion 2024.
RG2025_V1,BWA,HUM_IDH,0.731,indice_0_1,2023,UNDP_HDR,
RG2025_V1,BRA,TERR_DENS,25.4616932715,hab/km2,2025,CALC_UNWPP_FAOSTAT_OWID,Poblacion 2025 / superficie terrestre 2023.
RG2025_V1,BRA,POB_URB,87.6159710236,%,2023,WB_WDI_SP.URB.TOTL.IN.ZS,Definicion urbana nacional armonizada por ONU/WDI.
RG2025_V1,BRA,POB_EDAD,33.942,anios,2023,OWID_MEDIAN_AGE,
RG2025_V1,BRA,HUM_EV,75.848,anios,2023,WB_WDI,
RG2025_V1,BRA,ECO_PC,10310.5490864493,USD_corrientes_por_hab,2024,WB_WDI_NY.GDP.MKTP.CD,PIB nominal WDI 2024 / poblacion 2024.
RG2025_V1,BRA,HUM_IDH,0.786,indice_0_1,2023,UNDP_HDR,
RG2025_V1,BLZ,TERR_DENS,18.5412976765,hab/km2,2025,CALC_UNWPP_FAOSTAT_OWID,Poblacion 2025 / superficie terrestre 2023.
RG2025_V1,BLZ,POB_URB,41.9459437505,%,2023,WB_WDI_SP.URB.TOTL.IN.ZS,Definicion urbana nacional armonizada por ONU/WDI.
RG2025_V1,BLZ,POB_EDAD,25.946,anios,2023,OWID_MEDIAN_AGE,
RG2025_V1,BLZ,HUM_EV,73.566,anios,2023,WB_WDI,
RG2025_V1,BLZ,ECO_PC,7681.1519215876,USD_corrientes_por_hab,2024,WB_WDI_NY.GDP.MKTP.CD,PIB nominal WDI 2024 / poblacion 2024.
RG2025_V1,BLZ,HUM_IDH,0.721,indice_0_1,2023,UNDP_HDR,
RG2025_V1,SLB,TERR_DENS,29.9626652376,hab/km2,2025,CALC_UNWPP_FAOSTAT_OWID,Poblacion 2025 / superficie terrestre 2023.
RG2025_V1,SLB,POB_URB,30.0088821088,%,2023,WB_WDI_SP.URB.TOTL.IN.ZS,Definicion urbana nacional armonizada por ONU/WDI.
RG2025_V1,SLB,POB_EDAD,20.251,anios,2023,OWID_MEDIAN_AGE,
RG2025_V1,SLB,HUM_EV,70.528,anios,2023,WB_WDI,
RG2025_V1,SLB,ECO_PC,1933.5365021138,USD_corrientes_por_hab,2024,WB_WDI_NY.GDP.MKTP.CD,PIB nominal WDI 2024 / poblacion 2024.
RG2025_V1,SLB,HUM_IDH,0.584,indice_0_1,2023,UNDP_HDR,
RG2025_V1,VGB,TERR_DENS,265,hab/km2,2025,CALC_UNWPP_FAOSTAT_OWID,Poblacion 2025 / superficie terrestre 2023.
RG2025_V1,VGB,POB_URB,55.6407774494,%,2023,WB_WDI_SP.URB.TOTL.IN.ZS,Definicion urbana nacional armonizada por ONU/WDI.
RG2025_V1,VGB,POB_EDAD,37.546,anios,2023,OWID_MEDIAN_AGE,
RG2025_V1,VGB,HUM_EV,77.276,anios,2023,WB_WDI,
RG2025_V1,BRN,TERR_DENS,88.4891840607,hab/km2,2025,CALC_UNWPP_FAOSTAT_OWID,Poblacion 2025 / superficie terrestre 2023.
RG2025_V1,BRN,POB_URB,74.8199193881,%,2023,WB_WDI_SP.URB.TOTL.IN.ZS,Definicion urbana nacional armonizada por ONU/WDI.
RG2025_V1,BRN,POB_EDAD,31.76,anios,2023,OWID_MEDIAN_AGE,
RG2025_V1,BRN,HUM_EV,75.327,anios,2023,WB_WDI,
RG2025_V1,BRN,ECO_PC,33152.5424811663,USD_corrientes_por_hab,2024,WB_WDI_NY.GDP.MKTP.CD,PIB nominal WDI 2024 / poblacion 2024.
RG2025_V1,BRN,HUM_IDH,0.837,indice_0_1,2023,UNDP_HDR,
RG2025_V1,BGR,TERR_DENS,61.8511053795,hab/km2,2025,CALC_UNWPP_FAOSTAT_OWID,Poblacion 2025 / superficie terrestre 2023.
RG2025_V1,BGR,POB_URB,73.7322671585,%,2023,WB_WDI_SP.URB.TOTL.IN.ZS,Definicion urbana nacional armonizada por ONU/WDI.
RG2025_V1,BGR,POB_EDAD,44.314,anios,2023,OWID_MEDIAN_AGE,
RG2025_V1,BGR,HUM_EV,75.756097561,anios,2023,WB_WDI,
RG2025_V1,BGR,ECO_PC,16773.3672690316,USD_corrientes_por_hab,2024,WB_WDI_NY.GDP.MKTP.CD,PIB nominal WDI 2024 / poblacion 2024.
RG2025_V1,BGR,HUM_IDH,0.845,indice_0_1,2023,UNDP_HDR,
RG2025_V1,MMR,TERR_DENS,84.0404002022,hab/km2,2025,CALC_UNWPP_FAOSTAT_OWID,Poblacion 2025 / superficie terrestre 2023.
RG2025_V1,MMR,POB_URB,30.3820718069,%,2023,WB_WDI_SP.URB.TOTL.IN.ZS,Definicion urbana nacional armonizada por ONU/WDI.
RG2025_V1,MMR,POB_EDAD,29.534,anios,2023,OWID_MEDIAN_AGE,
RG2025_V1,MMR,HUM_EV,66.889,anios,2023,WB_WDI,
RG2025_V1,MMR,ECO_PC,1359.0501402844,USD_corrientes_por_hab,2024,WB_WDI_NY.GDP.MKTP.CD,PIB nominal WDI 2024 / poblacion 2024.
RG2025_V1,MMR,HUM_IDH,0.609,indice_0_1,2023,UNDP_HDR,
RG2025_V1,BDI,TERR_DENS,560.3588395639,hab/km2,2025,CALC_UNWPP_FAOSTAT_OWID,Poblacion 2025 / superficie terrestre 2023.
RG2025_V1,BDI,POB_URB,23.5534768372,%,2023,WB_WDI_SP.URB.TOTL.IN.ZS,Definicion urbana nacional armonizada por ONU/WDI.
RG2025_V1,BDI,POB_EDAD,15.902,anios,2023,OWID_MEDIAN_AGE,
RG2025_V1,BDI,HUM_EV,63.651,anios,2023,WB_WDI,
RG2025_V1,BDI,ECO_PC,216.2318977466,USD_corrientes_por_hab,2024,WB_WDI_NY.GDP.MKTP.CD,PIB nominal WDI 2024 / poblacion 2024.
RG2025_V1,BDI,HUM_IDH,0.439,indice_0_1,2023,UNDP_HDR,
RG2025_V1,BLR,TERR_DENS,44.3268697379,hab/km2,2025,CALC_UNWPP_FAOSTAT_OWID,Poblacion 2025 / superficie terrestre 2023.
RG2025_V1,BLR,POB_URB,78.8146420666,%,2023,WB_WDI_SP.URB.TOTL.IN.ZS,Definicion urbana nacional armonizada por ONU/WDI.
RG2025_V1,BLR,POB_EDAD,40.535,anios,2023,OWID_MEDIAN_AGE,
RG2025_V1,BLR,HUM_EV,74.1837804878,anios,2023,WB_WDI,
RG2025_V1,BLR,ECO_PC,8677.7605541479,USD_corrientes_por_hab,2024,WB_WDI_NY.GDP.MKTP.CD,PIB nominal WDI 2024 / poblacion 2024.
RG2025_V1,BLR,HUM_IDH,0.824,indice_0_1,2023,UNDP_HDR,
RG2025_V1,KHM,TERR_DENS,101.1102481305,hab/km2,2025,CALC_UNWPP_FAOSTAT_OWID,Poblacion 2025 / superficie terrestre 2023.
RG2025_V1,KHM,POB_URB,40.6290788073,%,2023,WB_WDI_SP.URB.TOTL.IN.ZS,Definicion urbana nacional armonizada por ONU/WDI.
RG2025_V1,KHM,POB_EDAD,25.844,anios,2023,OWID_MEDIAN_AGE,
RG2025_V1,KHM,HUM_EV,70.668,anios,2023,WB_WDI,
RG2025_V1,KHM,ECO_PC,2627.8792506136,USD_corrientes_por_hab,2024,WB_WDI_NY.GDP.MKTP.CD,PIB nominal WDI 2024 / poblacion 2024.
RG2025_V1,KHM,HUM_IDH,0.606,indice_0_1,2023,UNDP_HDR,
RG2025_V1,CMR,TERR_DENS,63.2086078145,hab/km2,2025,CALC_UNWPP_FAOSTAT_OWID,Poblacion 2025 / superficie terrestre 2023.
RG2025_V1,CMR,POB_URB,55.1286878511,%,2023,WB_WDI_SP.URB.TOTL.IN.ZS,Definicion urbana nacional armonizada por ONU/WDI.
RG2025_V1,CMR,POB_EDAD,17.752,anios,2023,OWID_MEDIAN_AGE,
RG2025_V1,CMR,HUM_EV,63.7,anios,2023,WB_WDI,
RG2025_V1,CMR,ECO_PC,1830.0080855048,USD_corrientes_por_hab,2024,WB_WDI_NY.GDP.MKTP.CD,PIB nominal WDI 2024 / poblacion 2024.
RG2025_V1,CMR,HUM_IDH,0.588,indice_0_1,2023,UNDP_HDR,
RG2025_V1,CAN,TERR_DENS,4.5657182518,hab/km2,2025,CALC_UNWPP_FAOSTAT_OWID,Poblacion 2025 / superficie terrestre 2023.
RG2025_V1,CAN,POB_URB,82.5250564408,%,2023,WB_WDI_SP.URB.TOTL.IN.ZS,Definicion urbana nacional armonizada por ONU/WDI.
RG2025_V1,CAN,POB_EDAD,40.343,anios,2023,OWID_MEDIAN_AGE,
RG2025_V1,CAN,HUM_EV,81.6263414634,anios,2023,WB_WDI,
RG2025_V1,CAN,ECO_PC,57119.7142903233,USD_corrientes_por_hab,2024,WB_WDI_NY.GDP.MKTP.CD,PIB nominal WDI 2024 / poblacion 2024.
RG2025_V1,CAN,HUM_IDH,0.939,indice_0_1,2023,UNDP_HDR,
RG2025_V1,CPV,TERR_DENS,130.8518610422,hab/km2,2025,CALC_UNWPP_FAOSTAT_OWID,Poblacion 2025 / superficie terrestre 2023.
RG2025_V1,CPV,POB_URB,75.9064245753,%,2023,WB_WDI_SP.URB.TOTL.IN.ZS,Definicion urbana nacional armonizada por ONU/WDI.
RG2025_V1,CPV,POB_EDAD,27.87,anios,2023,OWID_MEDIAN_AGE,
RG2025_V1,CPV,HUM_EV,76.059,anios,2023,WB_WDI,
RG2025_V1,CPV,ECO_PC,5170.1954690262,USD_corrientes_por_hab,2024,WB_WDI_NY.GDP.MKTP.CD,PIB nominal WDI 2024 / poblacion 2024.
RG2025_V1,CPV,HUM_IDH,0.668,indice_0_1,2023,UNDP_HDR,
RG2025_V1,CYM,TERR_DENS,316.0875,hab/km2,2025,CALC_UNWPP_FAOSTAT_OWID,Poblacion 2025 / superficie terrestre 2023.
RG2025_V1,CYM,POB_URB,100,%,2023,WB_WDI_SP.URB.TOTL.IN.ZS,Definicion urbana nacional armonizada por ONU/WDI.
RG2025_V1,CYM,POB_EDAD,37.875,anios,2023,OWID_MEDIAN_AGE,
RG2025_V1,CYM,HUM_EV,80.358,anios,2023,WB_WDI,
RG2025_V1,CYM,ECO_PC,104266.29391137,USD_corrientes_por_hab,2024,WB_WDI_NY.GDP.MKTP.CD,PIB nominal WDI 2024 / poblacion 2024.
RG2025_V1,CAF,TERR_DENS,8.8498603486,hab/km2,2025,CALC_UNWPP_FAOSTAT_OWID,Poblacion 2025 / superficie terrestre 2023.
RG2025_V1,CAF,POB_URB,43.6983692134,%,2023,WB_WDI_SP.URB.TOTL.IN.ZS,Definicion urbana nacional armonizada por ONU/WDI.
RG2025_V1,CAF,POB_EDAD,14.32,anios,2023,OWID_MEDIAN_AGE,
RG2025_V1,CAF,HUM_EV,57.408,anios,2023,WB_WDI,
RG2025_V1,CAF,ECO_PC,516.1609031679,USD_corrientes_por_hab,2024,WB_WDI_NY.GDP.MKTP.CD,PIB nominal WDI 2024 / poblacion 2024.
RG2025_V1,CAF,HUM_IDH,0.414,indice_0_1,2023,UNDP_HDR,
RG2025_V1,LKA,TERR_DENS,375.5168768186,hab/km2,2025,CALC_UNWPP_FAOSTAT_OWID,Poblacion 2025 / superficie terrestre 2023.
RG2025_V1,LKA,POB_URB,20.1455348442,%,2023,WB_WDI_SP.URB.TOTL.IN.ZS,Definicion urbana nacional armonizada por ONU/WDI.
RG2025_V1,LKA,POB_EDAD,32.812,anios,2023,OWID_MEDIAN_AGE,
RG2025_V1,LKA,HUM_EV,77.483,anios,2023,WB_WDI,
RG2025_V1,LKA,ECO_PC,4311.7210920759,USD_corrientes_por_hab,2024,WB_WDI_NY.GDP.MKTP.CD,PIB nominal WDI 2024 / poblacion 2024.
RG2025_V1,LKA,HUM_IDH,0.776,indice_0_1,2023,UNDP_HDR,
